datetime,symbol,open,high,low,close,volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span
2017-11-12 01:00:00,BINANCE:ETHUSDT,310.87,316.99,281.01,305.24,21123.15319,305.005,300.6,311.91499999999996,293.195,442.54
2017-11-13 01:00:00,BINANCE:ETHUSDT,304.0,318.88,303.7,312.99,15551.67434,305.005,300.6,311.9475,293.195,460.0
2017-11-14 01:00:00,BINANCE:ETHUSDT,312.99,337.54,312.94,335.61,17709.2227,309.275,304.87,316.67,293.195,429.91
2017-11-15 01:00:00,BINANCE:ETHUSDT,335.6,339.0,324.0,331.33,15597.16131,310.005,305.6,316.67,293.195,509.69
2017-11-16 01:00:00,BINANCE:ETHUSDT,331.33,334.75,321.41,331.49,14145.71696,310.005,305.6,316.67,293.195,619.4
2017-11-17 01:00:00,BINANCE:ETHUSDT,331.49,334.6,323.84,331.23,18042.02544,310.005,305.6,316.67,293.195,684.01
2017-11-18 01:00:00,BINANCE:ETHUSDT,331.23,349.9,326.01,346.66,14361.4973,315.455,312.315,313.1,293.15999999999997,679.87
2017-11-19 01:00:00,BINANCE:ETHUSDT,346.66,373.56,343.07,354.15,19397.74898,327.28499999999997,324.145,313.1,279.64,673.75
2017-11-20 01:00:00,BINANCE:ETHUSDT,355.15,372.5,353.9,367.42,18277.0194,327.28499999999997,324.145,308.745,273.0,680.33
2017-11-21 01:00:00,BINANCE:ETHUSDT,367.42,375.5,350.02,362.12,26237.64398,339.6,325.115,304.1,273.0,705.03
2017-11-22 01:00:00,BINANCE:ETHUSDT,362.12,384.84,359.0,380.65,18121.58484,348.89,329.78499999999997,303.35,273.0,784.0
2017-11-23 01:00:00,BINANCE:ETHUSDT,380.63,425.0,370.02,405.0,25409.00111,373.20500000000004,349.865,302.395,273.0,798.0
2017-11-24 01:00:00,BINANCE:ETHUSDT,405.03,475.0,392.8,469.0,30398.35831,398.20500000000004,374.865,302.1,273.0,790.21
2017-11-25 01:00:00,BINANCE:ETHUSDT,467.57,484.47,450.0,461.82,21428.63117,404.155,379.6,303.6,273.0,782.41
2017-11-26 01:00:00,BINANCE:ETHUSDT,461.0,465.0,436.14,462.84,21691.11759,405.24,379.6,303.6,273.0,635.97
2017-11-27 01:00:00,BINANCE:ETHUSDT,462.84,486.94,453.0,472.31,23761.11416,415.005,380.83500000000004,304.425,273.0,640.34
2017-11-28 01:00:00,BINANCE:ETHUSDT,472.32,477.5,453.5,466.17,23967.24816,418.48,383.975,304.2325,273.0,658.0
2017-11-29 01:00:00,BINANCE:ETHUSDT,466.17,515.0,385.0,421.7,51313.49571,432.51,398.005,304.2325,273.0,714.95
2017-11-30 01:00:00,BINANCE:ETHUSDT,421.92,460.0,387.01,427.43,45184.22265,437.0,398.005,304.2325,273.0,750.0
2017-12-01 01:00:00,BINANCE:ETHUSDT,428.05,465.97,413.74,457.51,33072.21995,442.51,398.005,304.2325,273.0,739.89
2017-12-02 01:00:00,BINANCE:ETHUSDT,457.53,471.91,445.0,457.63,25796.14,450.0,398.005,304.2325,294.755,707.89
2017-12-03 01:00:00,BINANCE:ETHUSDT,457.31,485.9,440.11,460.3,24490.05997,450.0,398.005,304.2325,296.51,733.99
2017-12-04 01:00:00,BINANCE:ETHUSDT,460.3,470.98,445.0,466.66,23090.46989,450.0,398.005,305.2325,303.05,681.06
2017-12-05 01:00:00,BINANCE:ETHUSDT,466.6,468.67,445.21,453.64,25419.35554,450.0,398.005,307.4825,303.05,733.98
2017-12-06 01:00:00,BINANCE:ETHUSDT,452.88,455.1,400.0,411.04,38608.51155,450.0,398.005,307.4825,303.05,754.99
2017-12-07 01:00:00,BINANCE:ETHUSDT,413.0,427.61,375.01,406.31,41343.30217,445.005,398.005,304.945,303.05,855.28
2017-12-08 01:00:00,BINANCE:ETHUSDT,406.31,456.78,390.0,442.54,41078.20268,430.455,409.35,302.8025,303.505,934.03
2017-12-09 01:00:00,BINANCE:ETHUSDT,442.54,488.0,426.4,460.0,41905.98008,431.505,413.97,302.8025,304.555,940.0
2017-12-10 01:00:00,BINANCE:ETHUSDT,460.02,460.05,403.2,429.91,34920.62841,431.505,418.20500000000004,307.0725,313.1,959.3
2017-12-11 01:00:00,BINANCE:ETHUSDT,427.4,512.0,427.4,509.69,29781.26996,443.505,418.20500000000004,307.8025,313.1,1004.11
2017-12-12 01:00:00,BINANCE:ETHUSDT,509.69,639.27,494.89,619.4,59379.26709,507.14,481.55499999999995,307.8025,313.1,1123.09
2017-12-13 01:00:00,BINANCE:ETHUSDT,619.4,705.69,539.93,684.01,57711.00473,540.35,515.85,307.8025,313.1,1133.18
2017-12-14 01:00:00,BINANCE:ETHUSDT,684.0,747.6,630.5,679.87,60922.30235,561.3050000000001,545.335,313.885,313.1,1291.0
2017-12-15 01:00:00,BINANCE:ETHUSDT,679.01,689.0,594.6,673.75,39752.26693,561.3050000000001,548.81,325.715,322.88,1247.0
2017-12-16 01:00:00,BINANCE:ETHUSDT,674.95,712.0,669.22,680.33,26879.68669,568.8,548.81,325.715,322.88,1138.93
2017-12-17 01:00:00,BINANCE:ETHUSDT,682.17,728.0,680.34,705.03,31380.84008,575.4,553.3,332.3575,323.85,1253.87
2017-12-18 01:00:00,BINANCE:ETHUSDT,706.35,798.88,638.0,784.0,45668.66784,601.04,584.45,339.3375,328.52,1388.02
2017-12-19 01:00:00,BINANCE:ETHUSDT,784.0,864.9,729.01,798.0,69423.62125,646.15,619.9549999999999,361.535,348.6,1347.0
2017-12-20 01:00:00,BINANCE:ETHUSDT,798.0,828.0,661.0,790.21,72526.28416,679.895,619.9549999999999,386.535,373.6,1271.0
2017-12-21 01:00:00,BINANCE:ETHUSDT,794.62,845.99,705.98,782.41,78222.53998,702.415,619.9549999999999,391.8775,378.33500000000004,1000.0
2017-12-22 01:00:00,BINANCE:ETHUSDT,784.0,796.0,504.99,635.97,154630.49482,684.9449999999999,619.9549999999999,392.42,378.33500000000004,1000.0
2017-12-23 01:00:00,BINANCE:ETHUSDT,635.15,714.99,627.97,640.34,79001.05634,684.9449999999999,619.9549999999999,397.92,379.57,994.0
2017-12-24 01:00:00,BINANCE:ETHUSDT,640.33,667.64,563.49,658.0,95431.94156,684.9449999999999,619.9549999999999,401.2275,379.57,1032.5
2017-12-25 01:00:00,BINANCE:ETHUSDT,659.4,744.0,599.99,714.95,78544.84102,684.9449999999999,619.9549999999999,415.2575,393.6,1152.75
2017-12-26 01:00:00,BINANCE:ETHUSDT,713.12,750.0,712.56,750.0,60052.47905,684.9449999999999,619.9549999999999,417.5025,393.6,1049.0
2017-12-27 01:00:00,BINANCE:ETHUSDT,750.0,766.05,693.18,739.89,51339.2782,684.9449999999999,619.9549999999999,420.2575,393.6,993.0
2017-12-28 01:00:00,BINANCE:ETHUSDT,739.89,744.93,645.88,707.89,72679.61288,675.49,619.9549999999999,424.0025,393.6,980.0
2017-12-29 01:00:00,BINANCE:ETHUSDT,709.5,757.87,703.0,733.99,64028.12647,675.49,619.9549999999999,424.0025,393.6,1061.0
2017-12-30 01:00:00,BINANCE:ETHUSDT,732.9,735.0,635.82,681.06,89879.99994,650.495,619.9549999999999,424.0025,393.6,1056.52
2017-12-31 01:00:00,BINANCE:ETHUSDT,680.01,740.0,672.86,733.98,62628.24458,664.77,619.9549999999999,424.0025,393.6,1051.03
2018-01-01 01:00:00,BINANCE:ETHUSDT,733.01,763.55,716.8,754.99,53909.25885,664.77,619.9549999999999,424.0025,393.6,1118.99
2018-01-02 01:00:00,BINANCE:ETHUSDT,754.99,899.5,749.06,855.28,113257.78355,749.745,644.75,421.505,393.6,1251.96
2018-01-03 01:00:00,BINANCE:ETHUSDT,855.13,950.01,810.0,934.03,89041.45688,792.915,676.605,419.90250000000003,393.6,1177.01
2018-01-04 01:00:00,BINANCE:ETHUSDT,934.03,1009.72,890.01,940.0,102894.47384,822.77,706.46,422.7375,393.6,1085.5
2018-01-05 01:00:00,BINANCE:ETHUSDT,940.0,1045.0,930.0,959.3,97374.0163,840.4100000000001,736.2,424.855,393.6,1124.81
2018-01-06 01:00:00,BINANCE:ETHUSDT,958.0,1017.56,950.0,1004.11,71954.27895,840.4100000000001,769.9449999999999,430.855,393.6,1041.94
2018-01-07 01:00:00,BINANCE:ETHUSDT,1003.71,1125.0,999.9,1123.09,65278.81957,880.4100000000001,814.995,494.34749999999997,455.735,922.3
2018-01-08 01:00:00,BINANCE:ETHUSDT,1123.09,1239.18,910.0,1133.18,158831.54798,956.02,872.085,528.1,488.94500000000005,971.0
2018-01-09 01:00:00,BINANCE:ETHUSDT,1133.18,1326.5,1104.85,1291.0,118702.88684,1021.65,915.745,553.32,511.165,823.56
