datetime,symbol,open,high,low,close,volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,fundingRate
2023-11-22 01:00:00,BINANCE:BTCUSDT,35741.65,37861.1,35632.01,37408.34,45051.30697,36390.0,35920.0,31299.83,30090.5,42657.8,0.0
2023-11-23 01:00:00,BINANCE:BTCUSDT,37408.35,37653.44,36870.0,37294.28,23827.92882,36670.0,35955.0,31419.237500000003,30090.5,42275.99,0.0
2023-11-24 01:00:00,BINANCE:BTCUSDT,37294.27,38414.0,37251.51,37713.57,44680.80646,36957.0,36219.5,31640.857500000002,30090.5,43668.93,0.0
2023-11-25 01:00:00,BINANCE:BTCUSDT,37713.57,37888.0,37591.1,37780.67,11396.14464,37023.005000000005,36219.5,31684.665,30090.5,43861.8,0.0
2023-11-26 01:00:00,BINANCE:BTCUSDT,37780.67,37814.63,37150.0,37447.43,21264.53723,37023.005000000005,36255.695,31745.565000000002,30090.5,43969.04,0.0
2023-11-27 01:00:00,BINANCE:BTCUSDT,37447.42,37569.23,36707.0,37242.7,30001.07376,37023.005000000005,36267.0,32633.75,30241.5,43702.16,0.0
2023-11-28 01:00:00,BINANCE:BTCUSDT,37242.7,38377.0,36868.41,37818.87,37544.46667,37023.005000000005,36267.0,32974.8975,30558.235,42991.5,0.0
2023-11-29 01:00:00,BINANCE:BTCUSDT,37818.88,38450.0,37570.0,37854.64,32994.19107,37041.005000000005,36449.0,32974.8975,30874.579999999998,43576.13,0.0
2023-11-30 01:00:00,BINANCE:BTCUSDT,37854.65,38145.85,37500.0,37723.96,24740.29147,37041.005000000005,36449.0,32974.8975,30987.725,42508.93,0.0
2023-12-01 01:00:00,BINANCE:BTCUSDT,37723.97,38999.0,37615.86,38682.52,43415.66324,37853.0,36761.03,33092.159999999996,30987.725,43428.85,0.0
2023-12-02 01:00:00,BINANCE:BTCUSDT,38682.51,39717.14,38641.61,39450.35,26696.92161,38212.07,37120.1,33113.744999999995,30987.725,42563.76,0.0
2023-12-03 01:00:00,BINANCE:BTCUSDT,39450.35,40250.0,39274.86,39972.26,26710.65335,38478.5,37525.0,33169.994999999995,30987.725,42066.95,0.0
2023-12-04 01:00:00,BINANCE:BTCUSDT,39972.26,42420.0,39972.26,41991.1,79272.33059,39563.5,38610.0,33256.5,31048.23,42140.28,0.0
2023-12-05 01:00:00,BINANCE:BTCUSDT,41991.1,44488.0,41414.0,44073.32,67490.74644,40597.5,39644.0,34212.53,31981.35,42283.58,0.0
2023-12-06 01:00:00,BINANCE:BTCUSDT,44073.82,44297.21,43335.28,43762.69,51431.10492,40678.205,39644.0,34294.284999999996,31981.35,44179.55,0.0
2023-12-07 01:00:00,BINANCE:BTCUSDT,43762.69,44047.33,42821.1,43273.14,47103.26845,40994.0,39644.0,34533.45,31981.35,44946.91,0.0
2023-12-08 01:00:00,BINANCE:BTCUSDT,43273.15,44700.0,43081.1,44170.99,42900.37556,41100.0,39750.0,34623.284999999996,31981.35,42845.23,0.0
2023-12-09 01:00:00,BINANCE:BTCUSDT,44171.0,44358.02,43584.51,43713.6,24925.97008,41157.93,39750.0,34623.284999999996,31981.35,44151.1,0.0
2023-12-10 01:00:00,BINANCE:BTCUSDT,43713.59,44049.0,43563.0,43789.51,18956.61758,41670.805,40030.0,34761.4575,31981.35,44145.11,0.0
2023-12-11 01:00:00,BINANCE:BTCUSDT,43789.5,43804.5,40222.0,41253.4,76663.89804,41987.43,40100.0,34986.957500000004,31985.23,43968.32,0.0
2023-12-12 01:00:00,BINANCE:BTCUSDT,41253.41,42104.12,40680.0,41492.39,42722.69773,42336.130000000005,40166.005000000005,35100.0,32034.17,43929.02,0.0
2023-12-13 01:00:00,BINANCE:BTCUSDT,41492.38,43475.2,40555.0,42869.03,45865.99773,42461.0,40166.005000000005,35160.9,32046.03,46951.04,0.0
2023-12-14 01:00:00,BINANCE:BTCUSDT,42869.03,43420.0,41400.0,43022.26,42047.05709,42461.0,40166.005000000005,35898.085,32161.2,46110.0,0.0
2023-12-15 01:00:00,BINANCE:BTCUSDT,43022.26,43080.81,41666.0,41940.3,33421.7932,42461.0,40166.005000000005,36037.7375,32259.33,46653.99,0.0
2023-12-16 01:00:00,BINANCE:BTCUSDT,41940.29,42724.43,41605.0,42278.03,24118.85747,42461.0,40166.005000000005,36037.7375,32259.33,46339.16,0.0
2023-12-17 01:00:00,BINANCE:BTCUSDT,42278.02,42424.07,41252.0,41374.65,27722.11452,42290.009999999995,40166.005000000005,36037.7375,32259.33,42782.73,0.0
2023-12-18 01:00:00,BINANCE:BTCUSDT,41374.64,42757.81,40542.93,42657.8,46734.0925,42135.5,40703.5,36155.0,32259.33,42847.99,0.0
2023-12-19 01:00:00,BINANCE:BTCUSDT,42657.8,43497.0,41811.1,42275.99,40927.86444,42013.25,40703.5,36312.5,32259.33,41732.35,0.0
2023-12-20 01:00:00,BINANCE:BTCUSDT,42275.99,44283.0,42206.0,43668.93,48710.2947,42412.965,40703.5,36588.25,32476.33,42511.1,0.0
2023-12-21 01:00:00,BINANCE:BTCUSDT,43668.92,44242.35,43286.72,43861.8,34624.29384,42412.965,40703.5,36621.2525,32476.33,43137.95,0.0
2023-12-22 01:00:00,BINANCE:BTCUSDT,43861.79,44398.26,43412.54,43969.04,32783.19638,42470.595,40703.5,36639.350000000006,32476.33,42776.1,0.0
2023-12-23 01:00:00,BINANCE:BTCUSDT,43969.04,43988.68,43291.1,43702.16,16557.1293,42470.595,40784.205,36645.0025,32476.33,41327.5,0.0
2023-12-24 01:00:00,BINANCE:BTCUSDT,43702.15,43946.0,42500.0,42991.5,25144.33496,42470.595,41100.0,36645.0025,32476.33,41659.03,0.0
2023-12-25 01:00:00,BINANCE:BTCUSDT,42991.5,43802.32,42720.43,43576.13,27021.23992,42470.595,41100.0,36745.0025,32494.33,41696.04,0.0
2023-12-26 01:00:00,BINANCE:BTCUSDT,43576.12,43592.68,41637.6,42508.93,41010.04282,42470.595,41157.93,36745.0025,32494.33,41580.33,0.0
2023-12-27 01:00:00,BINANCE:BTCUSDT,42508.93,43677.0,42098.69,43428.85,36191.21136,43017.93,41670.805,37307.015,32768.83,39568.02,0.0
2023-12-28 01:00:00,BINANCE:BTCUSDT,43428.86,43787.57,42241.79,42563.76,35150.52485,43017.93,41987.43,37666.085,33136.07,39897.6,0.0
2023-12-29 01:00:00,BINANCE:BTCUSDT,42563.76,43111.0,41300.0,42066.95,42597.18912,42849.130000000005,42336.130000000005,38001.75,33467.5,40084.88,0.0
2023-12-30 01:00:00,BINANCE:BTCUSDT,42066.94,42612.32,41520.3,42140.28,22906.57818,42849.130000000005,42461.0,39086.75,34604.5,39961.09,0.0
2023-12-31 01:00:00,BINANCE:BTCUSDT,42140.29,42899.0,41965.84,42283.58,23585.91603,42644.34,42461.0,40120.75,35648.125,41823.51,0.0
2024-01-01 01:00:00,BINANCE:BTCUSDT,42283.58,44184.1,42180.77,44179.55,27174.29903,42742.05,42461.0,40161.1025,35800.33,42120.63,0.0
2024-01-02 01:00:00,BINANCE:BTCUSDT,44179.55,45879.63,44148.34,44946.91,65146.40661,43589.815,43050.815,40319.0,36278.66,42031.06,0.0
2024-01-03 01:00:00,BINANCE:BTCUSDT,44946.91,45500.0,40750.0,42845.23,81194.55173,43314.815,43050.815,40425.0,36400.33,43302.7,0.0
2024-01-04 01:00:00,BINANCE:BTCUSDT,42845.23,44729.58,42613.77,44151.1,48038.06334,43314.815,43050.815,40453.965,36400.33,42941.1,0.0
2024-01-05 01:00:00,BINANCE:BTCUSDT,44151.1,44357.46,42450.0,44145.11,48075.25327,43314.815,43050.815,40850.4025,36639.145000000004,42580.0,0.0
2024-01-06 01:00:00,BINANCE:BTCUSDT,44145.12,44214.42,43397.05,43968.32,17835.06144,43314.815,43211.28,41043.715,37082.385,43082.94,0.0
2024-01-07 01:00:00,BINANCE:BTCUSDT,43968.32,44480.59,43572.09,43929.02,23023.8508,43314.815,43211.28,41251.067500000005,37170.0,43200.0,0.0
2024-01-08 01:00:00,BINANCE:BTCUSDT,43929.01,47248.99,43175.0,46951.04,72814.57589,43999.494999999995,43895.96,41313.5025,37291.8,43011.09,0.0
2024-01-09 01:00:00,BINANCE:BTCUSDT,46951.04,47972.0,44748.67,46110.0,69927.66617,44361.0,44257.465,41313.5025,38766.17,42582.88,0.0
2024-01-10 01:00:00,BINANCE:BTCUSDT,46110.0,47695.93,44300.36,46653.99,89911.41203,44361.0,44257.465,41313.5025,39045.475,42708.7,0.0
2024-01-11 01:00:00,BINANCE:BTCUSDT,46654.0,48969.48,45606.06,46339.16,87470.3296,44859.740000000005,44756.205,41313.5025,39045.475,43098.95,0.0
2024-01-12 01:00:00,BINANCE:BTCUSDT,46339.16,46515.53,41500.0,42782.73,86327.93707,45234.740000000005,44756.205,41228.0075,39045.475,44349.6,0.0
2024-01-13 01:00:00,BINANCE:BTCUSDT,42782.74,43257.0,42436.12,42847.99,36118.47464,45234.740000000005,44859.740000000005,41419.5,39280.0,45288.65,0.0
2024-01-14 01:00:00,BINANCE:BTCUSDT,42847.99,43079.0,41720.0,41732.35,28228.40894,45234.740000000005,44859.740000000005,41358.375,39315.0,47132.77,0.0
2024-01-15 01:00:00,BINANCE:BTCUSDT,41732.35,43400.43,41718.05,42511.1,40269.89303,45234.740000000005,44859.740000000005,41558.2325,39362.5,47751.09,0.0
2024-01-16 01:00:00,BINANCE:BTCUSDT,42511.1,43578.01,42050.0,43137.95,45045.74589,45234.740000000005,44859.740000000005,41558.2325,39362.5,48299.99,0.0
2024-01-17 01:00:00,BINANCE:BTCUSDT,43137.94,43198.0,42200.69,42776.1,33266.21388,45234.740000000005,44859.740000000005,41587.0475,39398.695,49917.27,0.0
2024-01-18 01:00:00,BINANCE:BTCUSDT,42776.09,42930.0,40683.28,41327.5,43907.51641,44826.380000000005,44826.380000000005,41627.4,39410.0,49699.59,0.0
2024-01-19 01:00:00,BINANCE:BTCUSDT,41327.51,42196.86,40280.0,41659.03,48342.74559,44624.740000000005,44624.740000000005,41785.2975,39410.0,51795.17,0.0
2024-01-20 01:00:00,BINANCE:BTCUSDT,41659.03,41872.56,41456.3,41696.04,15923.99493,43397.765,44624.740000000005,41785.2975,39574.0,51880.0,0.0
2024-01-21 01:00:00,BINANCE:BTCUSDT,41696.05,41881.39,41500.98,41580.33,11730.16301,41929.005000000005,44624.740000000005,41814.2625,39574.0,52124.11,0.0
2024-01-22 01:00:00,BINANCE:BTCUSDT,41580.32,41689.65,39431.58,39568.02,55426.19911,41504.795,44200.53,42344.3675,39611.53,51642.64,0.0
2024-01-23 01:00:00,BINANCE:BTCUSDT,39568.02,40176.74,38555.0,39897.6,57956.63351,41066.505000000005,43762.240000000005,42502.68,39611.53,52137.67,0.0
2024-01-24 01:00:00,BINANCE:BTCUSDT,39897.59,40555.0,39484.19,40084.88,39293.82861,41066.505000000005,43762.240000000005,42592.630000000005,39750.0,51774.73,0.0
2024-01-25 01:00:00,BINANCE:BTCUSDT,40084.89,40300.24,39550.0,39961.09,31022.11853,40876.5,43762.240000000005,42655.065,39750.0,52258.82,0.0
2024-01-26 01:00:00,BINANCE:BTCUSDT,39961.09,42246.82,39822.52,41823.51,47384.96726,40742.5,43762.240000000005,42552.67,39750.0,51849.39,0.0
